wedge,makepatch_call_count,deletepatch_call_count
1236,74,58
1237,53,38
1238,46,30
1239,85,67
1240,76,54
1241,101,83
1242,103,83
1243,66,48
1244,73,52
1245,79,54
1246,94,71
1247,45,24
1248,69,49
1249,48,35
1250,71,53
1251,83,67
1252,35,18
1253,38,23
1254,49,36
1255,59,44
1256,69,51
1257,72,58
1258,37,23
1259,92,75
1260,75,60
1261,90,75
1262,61,44
1263,42,23
1264,66,52
1265,84,62
1266,50,34
1267,91,80
1268,46,31
1269,79,67
1270,69,53
1271,73,58
1272,80,61
1273,106,89
1274,73,55
1275,75,57
1276,52,33
1277,95,77
1278,47,26
1279,56,32
1280,84,72
1281,62,46
1282,82,66
1283,135,115
1284,102,82
1285,125,108
1286,66,46
1287,81,59
1288,122,103
1289,81,61
1290,64,50
1291,75,59
1292,52,35
1293,60,46
1294,74,60
1295,54,40
1296,60,42
1297,54,39
1298,94,77
1299,55,38
1300,94,81
1301,74,59
1302,49,36
1303,21,10
1304,70,56
1305,59,47
1306,84,70
1307,50,36
1308,44,32
1309,59,46
1310,24,8
1311,73,55
1312,107,89
1313,79,61
1314,22,8
1315,75,55
1316,75,58
1317,98,81
1318,54,38
1319,78,59
1320,35,18
1321,79,61
1322,65,50
1323,76,58
1324,121,103
1325,103,83
1326,117,95
1327,97,81
1328,82,64
1329,49,31
1330,51,35
1331,41,29
1332,47,30
1333,60,46
1334,79,59
1335,68,49
1336,55,38
1337,47,30
1338,69,52
1339,91,72
1340,77,59
1341,43,28
1342,99,77
1343,88,70
1344,93,74
1345,77,59
1346,89,72
1347,98,79
1348,69,51
1349,95,77
1350,50,35
1351,79,61
1352,113,96
1353,148,129
1354,53,36
1355,63,46
1356,86,67
1357,43,27
1358,80,64
1359,89,69
1360,43,29
1361,74,58
1362,53,41
1363,85,72
1364,39,26
1365,37,22
1366,17,6
1367,47,30
1368,67,55
1369,43,28
1370,14,0
1371,80,66
1372,38,27
1373,63,48
1374,33,20
1375,61,48
1376,48,35
1377,30,17
1378,58,44
1379,58,42
1380,77,57
1381,121,100
1382,55,34
1383,105,84
1384,70,51
1385,81,66
1386,67,52
1387,80,67
1388,92,76
1389,81,62
1390,43,26
1391,87,75
1392,58,45
1393,76,61
1394,51,35
1395,72,56
1396,52,36
1397,55,40
1398,27,9
1399,83,67
1400,79,65
1401,50,36
1402,56,44
1403,48,33
1404,45,35
1405,64,52
1406,80,65
1407,80,66
1408,66,54
1409,61,42
1410,83,67
1411,50,33
1412,44,26
1413,70,53
1414,27,12
1415,56,41
1416,37,23
1417,84,68
1418,75,61
1419,69,51
1420,52,34
1421,172,151
1422,81,67
1423,79,62
1424,59,38
1425,31,16
1426,97,77
1427,68,52
1428,65,45
1429,89,70
1430,99,80
1431,114,94
1432,138,116
1433,67,47
1434,70,57
1435,70,54
1436,23,7
1437,63,49
1438,54,38
1439,82,64
1440,70,56
1441,54,38
1442,60,44
1443,77,60
1444,54,36
1445,77,64
1446,49,33
1447,73,59
1448,86,71
1449,53,39
1450,57,40
1451,80,63
1452,72,53
1453,67,45
1454,102,85
1455,119,100
1456,51,38
1457,61,41
1458,60,43
1459,75,55
1460,65,51
1461,61,45
1462,55,41
1463,64,50
1464,69,52
1465,49,34
1466,53,33
1467,43,27
1468,72,52
1469,76,56
1470,62,45
1471,48,34
1472,75,61
1473,77,59
1474,55,39
1475,85,70
1476,71,55
1477,64,50
1478,39,19
1479,73,56
1480,46,31
1481,88,68
1482,140,119
1483,112,88
1484,109,88
1485,120,98
1486,96,79
1487,92,75
1488,44,21
1489,94,73
1490,100,85
1491,86,70
1492,64,44
1493,101,81
1494,83,66
1495,94,74
1496,74,58
1497,73,55
1498,63,48
1499,67,48
1500,70,53
1501,69,53
1502,68,49
1503,128,108
1504,60,42
1505,69,50
1506,95,80
1507,119,102
1508,88,71
1509,51,34
1510,55,39
1511,66,51
1512,49,38
1513,56,42
1514,68,53
1515,74,58
1516,76,56
1517,80,63
1518,53,39
1519,61,38
1520,97,77
1521,73,53
1522,55,39
1523,48,32
1524,86,70
1525,91,77
1526,83,61
1527,87,70
1528,73,55
1529,67,50
1530,44,26
1531,77,58
1532,86,67
1533,118,99
1534,66,48
1535,41,24
1536,70,57
1537,77,55
1538,55,37
1539,120,101
1540,96,81
1541,80,64
1542,70,53
1543,49,31
1544,110,92
1545,72,55
1546,66,46
1547,95,77
1548,118,99
1549,82,61
1550,60,39
1551,87,63
1552,78,61
1553,66,48
1554,73,56
1555,99,82
1556,99,82
1557,103,81
1558,103,82
1559,107,86
1560,129,109
1561,106,86
1562,113,93
1563,105,83
1564,96,78
1565,133,108
1566,137,118
1567,66,50
1568,83,62
1569,73,54
1570,94,74
1571,71,51
1572,95,73
1573,93,75
1574,60,38
1575,85,68
1576,75,57
1577,72,47
1578,50,32
1579,72,59
1580,86,64
1581,87,70
1582,65,51
1583,90,75
1584,115,94
1585,99,80
1586,112,87
1587,64,42
1588,86,66
1589,135,112
1590,77,55
1591,80,63
1592,130,108
1593,87,69
1594,87,66
1595,59,46
1596,79,61
1597,87,71
1598,68,48
1599,129,103
1600,119,97
1601,118,93
1602,97,77
1603,189,167
1604,133,112
1605,70,53
1606,64,44
1607,57,43
1608,28,13
1609,79,66
1610,82,62
1611,96,80
1612,25,9
1613,109,89
1614,103,80
1615,84,67
1616,90,72
1617,82,63
1618,120,101
1619,67,49
1620,86,67
1621,82,64
1622,77,59
1623,96,78
1624,121,101
1625,107,86
1626,65,43
1627,115,93
1628,79,60
1629,84,64
1630,76,55
1631,90,69
1632,120,98
1633,55,38
1634,72,57
1635,56,35
1636,74,60
1637,82,64
1638,58,40
1639,102,85
1640,76,61
1641,54,36
1642,86,68
1643,114,95
1644,105,81
1645,99,80
1646,123,107
1647,86,69
1648,105,84
1649,57,40
1650,93,71
1651,84,59
1652,122,96
1653,91,69
1654,78,60
1655,43,27
1656,55,40
1657,75,59
1658,100,83
1659,112,93
1660,91,71
1661,80,62
1662,55,35
1663,108,89
1664,110,92
1665,83,63
1666,77,58
1667,86,68
1668,75,57
1669,79,61
1670,53,39
1671,83,69
1672,77,61
1673,110,92
1674,99,83
1675,60,46
1676,60,40
1677,85,70
1678,57,40
1679,70,49
1680,69,54
1681,80,59
1682,77,64
1683,78,64
1684,80,61
1685,75,57
1686,118,97
1687,50,36
1688,97,78
1689,52,34
1690,66,50
1691,49,38
1692,80,60
1693,99,83
1694,124,104
1695,90,72
1696,48,35
1697,34,16
1698,33,18
1699,41,28
1700,45,27
1701,64,50
1702,71,55
1703,69,51
1704,67,50
1705,62,44
1706,59,44
1707,49,36
1708,33,20
1709,42,27
1710,73,58
1711,122,102
1712,82,65
1713,68,51
1714,97,76
1715,44,28
1716,82,64
1717,68,54
1718,43,30
1719,61,46
1720,55,37
1721,82,67
1722,50,37
1723,52,39
1724,69,54
1725,52,39
1726,71,58
1727,36,23
1728,44,28
1729,43,31
1730,57,43
1731,81,67
1732,117,101
1733,67,47
1734,76,54
1735,65,47
1736,117,98
1737,57,40
1738,62,48
1739,83,67
1740,34,17
1741,92,73
1742,97,76
1743,61,40
1744,65,49
1745,75,58
1746,72,53
1747,55,41
1748,34,18
1749,60,44
1750,91,75
1751,103,85
1752,114,94
1753,60,42
1754,51,32
1755,68,54
1756,70,52
1757,80,63
1758,67,47
1759,76,60
1760,84,66
1761,113,94
1762,46,33
1763,82,68
1764,82,65
1765,60,46
1766,82,66
1767,37,19
1768,74,58
1769,41,26
1770,55,39
1771,55,38
1772,61,43
1773,46,31
1774,84,68
1775,52,40
1776,78,63
1777,45,34
1778,81,68
1779,54,38
1780,86,69
1781,62,47
1782,78,61
1783,55,37
1784,87,71
1785,86,71
1786,65,48
1787,104,86
1788,53,34
1789,103,85
1790,76,58
1791,57,40
1792,47,33
1793,58,41
1794,59,45
1795,40,25
1796,84,68
1797,129,110
1798,83,67
1799,124,105
1800,72,54
1801,57,42
1802,41,28
1803,66,48
1804,38,24
1805,64,50
1806,51,37
1807,66,51
1808,88,70
1809,96,78
1810,76,58
1811,116,94
1812,67,51
1813,63,47
1814,48,33
1815,60,48
1816,40,27
1817,62,44
1818,43,26
1819,84,65
1820,76,55
1821,58,41
1822,67,49
1823,103,86
1824,99,80
1825,58,42
1826,75,58
1827,80,62
1828,114,95
1829,78,61
1830,114,89
1831,59,40
1832,68,49
1833,57,40
1834,63,47
1835,46,32
1836,93,75
1837,56,39
1838,76,62
1839,47,34
1840,71,56
1841,81,67
1842,58,44
1843,76,63
1844,72,57
1845,48,30
1846,33,18
1847,82,63
1848,50,33
1849,84,69
1850,57,40
1851,86,69
1852,67,50
1853,101,83
1854,93,73
1855,73,55
1856,86,68
1857,74,57
1858,81,63
1859,88,69
1860,73,55
1861,113,90
1862,89,70
1863,167,144
1864,37,19
1865,127,107
1866,53,36
1867,91,66
1868,92,70
1869,88,69
1870,41,22
1871,62,44
1872,114,89
1873,96,72
1874,105,81
1875,86,65
1876,112,93
1877,33,11
1878,92,74
1879,95,75
1880,90,70
1881,97,77
1882,71,51
1883,129,104
1884,56,37
1885,74,56
1886,82,59
1887,103,86
1888,62,45
1889,85,67
1890,39,25
1891,114,99
1892,66,48
1893,48,31
1894,71,54
1895,68,53
1896,70,54
1897,66,52
1898,42,26
1899,52,35
1900,35,21
1901,58,44
1902,65,49
1903,64,48
1904,81,63
1905,89,72
1906,47,28
1907,67,50
1908,39,26
