event_no,layer_num,0
1646,5.0,102
1661,4.0,102
1435,5.0,102
1586,2.0,102
918,4.0,102
312,5.0,102
1606,3.0,102
2376,3.0,102
1522,4.0,102
3856,3.0,102
3295,4.0,102
2996,3.0,102
162,3.0,102
5297,5.0,102
1604,3.0,102
500,4.0,102
2878,4.0,102
6324,3.0,102
557,4.0,102
1623,5.0,102
3242,4.0,102
4280,5.0,102
1624,4.0,102
338,4.0,102
532,4.0,102
2859,5.0,102
1599,3.0,102
345,5.0,102
151,4.0,102
759,4.0,102
5432,4.0,102
51,5.0,102
5039,4.0,102
2365,2.0,102
1681,5.0,102
3024,5.0,102
65,4.0,102
4739,4.0,102
5627,4.0,102
318,2.0,102
1560,5.0,102
3225,5.0,102
1733,5.0,102
1743,2.0,102
4717,5.0,102
1545,5.0,102
3714,5.0,102
2302,4.0,102
1546,4.0,102
1752,5.0,102
3944,4.0,102
2171,4.0,102
5321,5.0,102
3852,5.0,102
4728,2.0,102
4644,5.0,102
5713,5.0,102
1697,5.0,102
489,4.0,102
887,5.0,102
4981,4.0,102
3270,3.0,102
2197,2.0,102
4849,5.0,102
717,4.0,102
1093,2.0,102
327,4.0,102
326,3.0,102
2999,4.0,102
3506,5.0,101
4524,3.0,101
1931,4.0,101
1265,5.0,101
5497,5.0,101
320,3.0,101
1213,4.0,101
3120,5.0,101
1223,4.0,101
4506,5.0,101
3511,2.0,101
5359,5.0,101
5358,5.0,101
3854,4.0,101
3122,4.0,101
6260,4.0,101
1576,5.0,101
1572,2.0,101
3129,4.0,101
3011,3.0,101
587,5.0,101
3128,2.0,101
2512,3.0,101
1525,5.0,101
49,5.0,101
5407,3.0,101
3012,3.0,101
4695,5.0,101
2684,5.0,101
4406,4.0,101
1242,4.0,101
4824,5.0,101
1935,3.0,101
2689,3.0,101
2896,2.0,101
1898,4.0,101
4488,5.0,101
1840,5.0,101
5662,2.0,101
6020,3.0,101
784,5.0,101
4854,3.0,101
2825,3.0,101
483,4.0,101
1705,3.0,101
5661,4.0,101
1431,4.0,101
1686,3.0,101
5023,3.0,101
1861,3.0,101
5909,5.0,101
5440,5.0,101
9,3.0,101
3624,5.0,101
3626,3.0,101
1403,5.0,101
3626,5.0,101
5919,4.0,101
3980,3.0,101
3682,3.0,101
577,5.0,101
5469,4.0,101
1760,4.0,101
5468,5.0,101
5165,4.0,101
1365,5.0,101
1396,2.0,101
1787,5.0,101
1782,4.0,101
1678,4.0,101
4457,4.0,101
4648,5.0,101
5143,4.0,101
3565,4.0,101
1278,4.0,101
340,5.0,101
1484,4.0,101
4479,4.0,101
1288,4.0,101
6344,4.0,101
3040,3.0,101
2902,5.0,101
3970,3.0,101
4800,3.0,101
4026,2.0,101
4464,3.0,101
1306,5.0,101
2821,4.0,101
5396,5.0,101
493,3.0,101
5623,4.0,101
1313,4.0,101
1436,5.0,101
2891,3.0,101
1660,3.0,101
2621,4.0,101
1883,3.0,101
1882,2.0,101
1663,4.0,101
6342,5.0,101
2892,5.0,101
5436,4.0,101
1321,2.0,101
3685,3.0,101
5113,5.0,101
1996,3.0,101
5650,4.0,101
519,5.0,101
2286,3.0,101
4920,4.0,101
522,5.0,101
5808,5.0,101
3185,5.0,101
2931,4.0,101
2250,2.0,101
155,3.0,101
2059,4.0,101
2058,2.0,101
4117,4.0,101
2754,5.0,101
2915,4.0,101
675,3.0,101
6099,5.0,101
2296,3.0,101
5279,3.0,101
2040,4.0,101
4343,4.0,101
3265,3.0,101
3267,2.0,101
2323,5.0,101
2322,5.0,101
3169,5.0,101
2072,4.0,101
3319,3.0,101
1106,5.0,101
2258,4.0,101
905,4.0,101
2110,3.0,101
665,5.0,101
5335,5.0,101
5203,4.0,101
2422,4.0,101
639,4.0,101
857,5.0,101
2119,4.0,101
4289,4.0,101
5296,4.0,101
2953,5.0,101
2799,4.0,101
5595,5.0,101
120,4.0,101
4166,3.0,101
2410,2.0,101
2434,4.0,101
2409,4.0,101
5844,5.0,101
865,5.0,101
2279,4.0,101
5774,4.0,101
6163,5.0,101
3168,4.0,101
2746,5.0,101
165,5.0,101
2195,5.0,101
3344,5.0,101
2001,2.0,101
396,1.0,101
6110,4.0,101
2306,5.0,101
2964,5.0,101
4955,3.0,101
2216,3.0,101
4201,5.0,101
3499,5.0,101
2303,5.0,101
127,4.0,101
4107,5.0,101
889,4.0,101
2183,4.0,101
2186,3.0,101
113,5.0,101
5779,3.0,101
6376,5.0,101
2318,3.0,101
2316,4.0,101
2301,5.0,101
2376,5.0,101
4655,4.0,100
3607,5.0,100
1629,2.0,100
1618,5.0,100
2122,2.0,100
5916,5.0,100
1431,5.0,100
353,5.0,100
1831,3.0,100
5975,3.0,100
3409,5.0,100
2361,5.0,100
5914,5.0,100
1471,4.0,100
2124,4.0,100
3681,5.0,100
3927,4.0,100
3881,4.0,100
1863,4.0,100
904,2.0,100
3354,5.0,100
981,3.0,100
2729,2.0,100
1861,4.0,100
1861,2.0,100
414,2.0,100
2796,5.0,100
5372,4.0,100
1845,3.0,100
4877,3.0,100
1616,3.0,100
6115,3.0,100
39,3.0,100
1616,5.0,100
1708,5.0,100
5311,3.0,100
3345,5.0,100
5692,3.0,100
3357,4.0,100
4797,4.0,100
1824,5.0,100
799,4.0,100
4359,5.0,100
4836,3.0,100
114,4.0,100
1785,3.0,100
4182,4.0,100
4445,5.0,100
5940,5.0,100
4740,5.0,100
1439,3.0,100
5737,3.0,100
3668,4.0,100
3953,4.0,100
270,2.0,100
2170,4.0,100
2216,5.0,100
3331,2.0,100
1398,5.0,100
3679,5.0,100
776,4.0,100
797,5.0,100
4192,5.0,100
4189,3.0,100
537,4.0,100
3975,3.0,100
627,5.0,100
2618,5.0,100
3630,4.0,100
6094,4.0,100
2929,4.0,100
3981,4.0,100
5325,4.0,100
5040,4.0,100
1107,5.0,100
3697,5.0,100
4252,3.0,100
4789,5.0,100
4274,4.0,100
4835,3.0,100
1010,2.0,100
1357,3.0,100
3070,2.0,100
4790,3.0,100
1001,3.0,100
3978,4.0,100
4446,5.0,100
39,4.0,100
1742,4.0,100
4267,5.0,100
2401,5.0,100
1326,3.0,100
4234,3.0,100
3310,4.0,100
978,4.0,100
2507,5.0,100
5660,5.0,100
4307,3.0,100
126,5.0,100
2300,4.0,100
1563,4.0,100
600,4.0,100
1526,2.0,100
3480,5.0,100
1934,3.0,100
3009,4.0,100
4821,5.0,100
4918,5.0,100
4630,5.0,100
1923,5.0,100
4880,5.0,100
1274,5.0,100
918,5.0,100
5852,5.0,100
2523,5.0,100
6135,4.0,100
5105,3.0,100
5619,4.0,100
2905,5.0,100
974,2.0,100
2302,5.0,100
4108,3.0,100
828,3.0,100
16,3.0,100
1994,5.0,100
5047,5.0,100
1540,3.0,100
476,3.0,100
1990,2.0,100
4398,4.0,100
1220,2.0,100
834,3.0,100
2963,5.0,100
5756,4.0,100
6375,5.0,100
539,3.0,100
3530,3.0,100
5981,4.0,100
833,4.0,100
1549,4.0,100
2010,5.0,100
4766,3.0,100
6241,5.0,100
2307,1.0,100
1557,1.0,100
3132,3.0,100
4338,4.0,100
2814,2.0,100
2436,5.0,100
2294,2.0,100
2100,4.0,100
2714,5.0,100
1880,3.0,100
3017,5.0,100
4420,5.0,100
549,4.0,100
4353,4.0,100
1602,5.0,100
1591,4.0,100
3428,3.0,100
2988,4.0,100
1161,4.0,100
1875,4.0,100
3580,4.0,100
1874,4.0,100
2820,5.0,100
1506,4.0,100
1597,4.0,100
2428,3.0,100
5621,5.0,100
1428,4.0,100
5599,4.0,100
1869,4.0,100
3576,4.0,100
2966,5.0,100
373,3.0,100
5076,4.0,100
1598,5.0,100
2435,5.0,100
3018,4.0,100
1558,3.0,99
4986,5.0,99
2973,4.0,99
5190,5.0,99
1552,5.0,99
2620,4.0,99
5551,5.0,99
490,5.0,99
436,5.0,99
2245,1.0,99
2866,4.0,99
4830,5.0,99
1468,3.0,99
5303,5.0,99
6223,4.0,99
